,代碼,10日均量,60日高點,月營收YoY,投信連買天數
591,1737,229,34.7,-5.22,0
592,1742,91,17.15,-48.25,0
593,1752,194,51.3,-30.52,0
594,1760,868,114.0,1.52,0
595,1762,415,54.2,-58.18,0
596,1773,1248,193.0,6.34,0
597,2731,2368,142.5,81.57,1
598,2732,218,143.5,0.82,0
599,2734,300,43.15,69.56,0
600,2736,1146,29.9,-34.99,0
601,2739,745,63.5,21.04,0
602,2740,1,39.7,25.18,0
603,2743,885,130.5,180.04,0
604,2745,652,92.1,174.82,0
605,2748,909,83.2,43.62,0
606,2752,13,300.0,27.71,0
607,2753,249,171.0,9.43,0
608,2754,193,121.0,31.17,0
609,2755,13,115.5,10.46,0
610,2756,33,90.7,-13.16,0
611,2801,11966,18.45,-7.59,0
612,2809,3933,56.4,500.73,0
613,2812,4887,17.55,7.96,0
614,2816,854,37.25,15.65,0
615,2820,884,15.4,-38.45,0
616,2832,687,28.5,12.08,0
617,2834,20079,16.55,8.14,0
618,2836,3732,12.45,7.27,0
619,2838,2121,15.6,39.28,0
620,2845,5119,14.6,-0.24,0
621,2849,54,14.5,0.55,0
622,2850,965,91.9,17.86,1
623,2851,3143,25.6,16.1,0
624,2852,1542,20.85,14.01,0
625,2855,6081,27.05,80.68,0
626,2867,36000,6.14,2.39,0
627,2880,11811,23.2,10.76,0
628,2881,15812,70.7,201.07,0
629,2882,26323,49.7,62.2,0
630,2883,47431,14.55,-46.53,1
631,2884,23580,27.35,4.78,0
632,2885,19973,30.9,36.89,0
633,2886,15811,40.9,20.77,0
634,2887,16075,18.2,-0.13,0
635,2888,40372,8.92,664.95,0
636,2889,6902,14.0,2.94,0
637,2890,20242,21.95,32.42,0
638,2891,36329,33.05,79.8,0
639,2892,12946,27.8,11.87,0
640,2897,9407,10.25,-7.21,0
641,2901,34,27.65,10.17,0
642,2903,3825,31.45,-0.36,0
643,2904,72,19.0,9.76,0
644,2905,1714,13.8,21.96,0
645,2906,621,21.45,7.36,0
646,2908,217,20.8,-2.59,0
647,2910,32,27.9,8.38,0
648,2911,143,8.16,-10.68,0
649,2912,1080,277.5,5.96,1
650,2913,1869,21.2,-4.12,0
651,2915,1995,62.6,-32.51,0
652,2916,176,64.9,12.06,0
653,2923,38,27.7,12.3,0
654,2924,13,27.75,26.81,0
655,2926,15,64.9,14.76,0
656,2929,208,12.0,-15.2,0
657,2937,23,36.8,-7.62,0
658,2939,15,30.5,-68.84,0
659,2945,25,46.95,1.44,0
660,2947,19,83.6,9.17,0
661,2948,17,68.6,-7.89,0
662,2949,19,120.0,2.46,0
663,3002,532,17.85,-9.72,0
664,3003,528,72.5,-1.45,0
665,3004,1324,119.5,14.13,0
666,3005,8634,155.5,-2.78,2
667,3006,4663,97.8,29.01,0
668,3008,809,2640.0,4.31,0
669,3010,4972,130.5,15.1,1
670,3011,358,35.3,-19.96,0
671,3013,32414,74.3,7.88,1
672,3014,1429,183.0,-3.58,5
673,3015,2584,60.8,-32.54,1
674,3016,1389,62.4,-9.6,0
675,3017,15133,643.0,6.6,1
676,3018,73,16.15,-31.76,0
