,代碼,10日均量,60日高點,月營收YoY,投信連買天數
648,1337,372,8.0,61.06,0
649,1338,135,41.0,-33.6,0
650,1339,393,74.2,8.53,0
651,1340,86,11.3,-39.01,0
652,1341,44,65.0,-7.15,0
653,1342,532,141.5,-5.04,0
654,1402,4569,33.25,-0.2,0
655,1409,2921,16.95,26.5,0
656,1410,74,38.1,8.47,0
657,1413,114,9.49,22.2,0
658,1414,499,21.2,-1.42,0
659,1416,960,13.85,-36.78,0
660,1417,304,12.35,-54.52,0
661,1418,76,34.2,-15.35,0
662,1419,63,47.4,9.37,0
663,1423,72,31.25,-37.41,0
664,1432,291,24.75,10.57,0
665,1434,1213,25.05,-3.51,0
666,1435,5,57.4,35.64,0
667,1436,312,116.5,-87.14,1
668,1437,186,33.25,0.78,0
669,1438,411,55.5,-100.0,0
670,1439,62,28.25,-52.76,0
671,1440,1663,16.2,-26.52,0
672,1441,46,14.2,-21.7,0
673,1442,1843,49.8,164.33,1
674,1443,61,31.6,7.51,0
675,1444,1330,10.4,-3.02,0
676,1445,832,27.15,-48.95,0
677,1446,214,36.2,980.85,0
678,1447,964,8.96,-14.24,0
679,1449,529,22.3,-1.61,0
680,1451,228,20.3,14.47,0
681,1452,202,17.25,26.53,0
682,1453,3079,24.8,101.75,0
683,1454,56,16.75,2.67,0
684,1455,3194,15.2,1.49,1
685,1456,283,23.65,15.12,0
686,1457,447,20.8,23.72,0
687,1459,85,9.98,64.28,0
688,1460,1104,8.5,-9.9,0
689,1463,156,18.9,-14.61,0
690,1464,363,13.85,8.71,0
691,1465,119,15.3,-25.06,0
692,1466,137,14.1,9.16,0
693,1467,5414,11.65,46.06,0
694,1468,58,15.1,4.4,0
695,1470,13,21.0,-25.83,0
696,1471,764,18.25,13.01,0
697,1776,62,18.45,-1.38,0
698,1777,25,84.6,1.82,0
699,1781,119,18.0,31.44,0
700,1783,147,48.05,-33.2,0
701,1784,269,66.5,-5.52,0
702,1785,11969,50.1,19.83,1
703,1786,2457,116.0,16.85,0
704,1788,20,140.5,-8.51,0
705,1789,1907,28.7,34.71,0
706,1795,10463,342.0,-19.55,0
707,1796,102,71.2,-47.16,0
708,1799,104,69.9,256.44,0
