,代碼,10日均量,60日高點,月營收YoY,投信連買天數
714,1809,2582,35.7,-1.08,0
715,1810,10905,21.75,-2.6,0
716,1813,55,20.9,-26.44,0
717,1815,12048,21.5,-8.61,0
718,1817,314,38.2,-11.9,0
719,1903,722,60.9,-15.47,0
720,1904,1080,29.35,-5.15,0
721,1905,4162,24.0,-6.98,0
722,1906,175,15.85,3.18,0
723,1907,1562,31.45,-4.67,1
724,1909,2224,15.2,-5.11,0
725,2002,41962,26.05,-2.92,2
726,2006,2642,78.7,0.67,0
727,2007,3530,12.15,17.21,0
728,2008,70,23.3,4.09,0
729,2009,32318,51.8,-9.79,0
730,2010,3271,21.9,0.19,0
731,2012,99,24.4,-3.87,0
732,2013,783,65.6,1.53,0
733,2014,19729,24.95,-19.35,0
734,2015,603,73.3,-13.39,1
735,2017,1940,15.55,6.99,0
736,2020,1887,39.55,-18.53,2
737,2022,3007,12.75,-21.58,0
738,2023,3927,16.65,-7.92,0
739,2024,20,23.5,2.49,0
740,2027,11239,37.8,-25.67,1
741,2028,2507,29.6,-31.35,0
742,2029,753,30.85,-0.16,0
743,2030,985,19.25,-13.94,0
744,2031,2759,66.8,-28.03,0
745,2032,1533,18.75,-6.03,0
746,2033,860,18.3,-17.35,0
747,2034,513,26.8,-24.68,0
748,2035,25,33.65,-19.24,0
749,2038,4466,21.95,-9.8,0
750,2049,2991,284.0,-12.23,0
751,2059,1604,1470.0,68.41,1
752,2061,1514,24.4,9.8,0
753,2062,1280,30.8,-3.01,0
754,2063,129,56.3,26.23,0
755,2064,46,16.6,-6.55,0
756,2065,109,66.6,-14.02,0
757,2066,2159,129.0,0.81,0
758,2067,33,13.25,-23.75,0
759,2069,331,16.9,-6.44,0
760,2070,88,41.35,-8.24,0
761,2073,30,30.75,-3.86,0
762,2101,18072,50.0,17.58,0
763,2102,502,18.95,-76.51,0
764,2103,2534,24.7,-0.6,7
765,2104,1460,18.9,-5.06,0
766,2105,4609,50.0,-6.88,0
767,2106,1598,34.1,-1.84,0
768,2107,707,25.55,-29.61,0
769,2108,367,36.65,6.41,0
770,2109,1907,17.95,-9.87,0
771,2114,50,111.0,-4.43,0
772,2115,195,31.0,31.96,0
773,2201,5694,72.2,5.71,0
774,2204,4943,147.5,29.08,1
775,2206,4869,78.2,-1.02,2
776,2207,367,672.0,-6.81,0
